Year,Accommodation and Food Service Activities,"Agriculture,Forestry and Fishing","Arts,Recreation and Other Service Activities",Construction,Education,"Electricity, gas, and Water Supply; Waste Management Activities",Financial and insurance activities,Human Health and Social work Activities,Information and Communication,Manufacturing,"Professional, Scientific and Technical Activities and Administrative and Support Service Activities",Public Administration and Defence; Compulsory Social Security,Real Estate Activities,Transportation and Storage,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
2010,18664.03335,8276.458706,6961.744625,120878.5124,13221.98826,28382.11793,98905.92216,7564.904045,31842.39645,91529.87874,51861.20851,59138.3087,53555.36032,63689.40613,143468.905
2011,21785.19624,8808.112317,6540.538804,119924.7636,15699.88575,33135.55724,103864.7493,9961.436431,32103.79251,106430.8418,53889.97118,62168.94539,57633.13854,74294.41621,147240.3421
2012,24162.19173,9055.225296,7584.00363,117123.9357,17732.38143,37333.28916,108546.3668,13064.26891,32688.87563,112984.3941,56391.37116,69963.38947,66089.55144,78100.99951,154810.3819
2013,28377.56954,9496.989592,7441.473852,120539.6624,18988.10531,38542.39526,125973.2215,15934.08413,33676.4324,115694.1403,61878.44005,79017.71427,67805.39491,81947.98804,169622.3227
2014,31792.73307,9763.267861,8049.684144,127699.474,21127.3955,41825.96707,143142.2885,17184.47967,37102.53792,122945.2758,66834.82002,85251.74617,76505.40696,88439.57622,175550.5576
2015,32254.35249,10048.0012,8675.689453,133595.0595,22060.00158,49754.76203,153352.7466,17881.26264,38976.38616,124638.8133,70207.57486,88842.6106,83663.1347,93866.9751,182950.4475
2016,31501.41364,10385.34657,9824.418716,130055.9433,24033.22998,51859.48561,160196.712,19361.95082,41277.23777,126745.4747,74286.5071,94447.96485,91982.91005,83161.71745,193159.1787
2017,32053.20461,11165.17006,10335.90567,131102.5698,25523.24689,58555.23887,162849.0101,19754.96528,43592.07413,135322.8613,73399.58404,105788.8204,93096.22265,85094.10807,195353.4297
2018,32350.10642,11416.64476,10608.64433,136012.4741,26356.56179,61627.1773,162183.1461,21002.10244,44517.0793,141134.919,77037.53898,111528.8184,85302.80189,87314.77206,197653.4428
2019,32733.66221,11706.54945,10648.54034,141798.9124,26388.06119,64131.37482,166702.3732,22792.12974,46602.83088,140919.6519,80628.31105,111278.383,83481.5484,90279.52147,206442.3412
2020,19852.72854,12631.09058,8581.652691,126147.322,26353.73562,63197.77343,143857.4824,23571.71054,46240.36005,117946.9289,69736.62369,107524.2601,69068.65313,67009.37385,177308.86
2021,31352.29775,13813.27924,9260.068095,129239.7589,27071.78939,72580.06085,149991.2231,27696.83412,47504.83721,136095.5196,75331.93623,109299.8093,74105.26746,72905.67724,197926.6368
2022,39433.18139,13915.19637,10203.76736,138952.9871,29483.02222,78717.12929,171988.9693,31773.59891,50359.083,160474.1507,82317.24391,111907.6513,83412.199,99359.58881,215620.924
2023,43974.13276,14665.05409,11545.37175,153834.723,31536.71503,85641.12708,189260.8271,34000.93984,52408.60863,181541.6738,93493.63183,115529.5549,93381.6489,121320.2049,234528.8534
2024,47438.03405,15607.49915,12024.74894,169005.9845,32578.74514,90610.88328,207316.8975,36633.55705,55422.41852,190136.4187,98120.61345,123162.1536,103875.1026,131584.1458,252549.7234
